element,amplitude,phase_rad,phase_deg
0,0.29417810,-0.65507078,-37.5328
1,0.48931414,-0.35860905,-20.5468
2,0.51684368,-0.42385396,-24.2850
3,0.61425602,-0.22501135,-12.8922
4,0.63723207,0.18378456,10.5301
5,0.50187111,0.05856228,3.3554
6,0.46628484,0.37364638,21.4084
7,0.32452926,-1.13815784,-65.2116
8,0.30840808,-1.50970876,-86.4999
9,0.45127293,0.93314236,53.4651
10,0.52971226,-0.17748323,-10.1690
11,0.64935398,-0.26522112,-15.1961
12,0.64587176,-0.13365923,-7.6581
13,0.48732132,0.13483590,7.7255
14,0.44820109,-0.12118789,-6.9436
15,0.28238308,1.54245985,88.3764
16,0.32545426,-0.67117113,-38.4553
17,0.48590913,-0.71178913,-40.7825
18,0.48395410,0.42767027,24.5037
19,0.66028917,0.02995270,1.7162
20,0.64380723,-0.49112475,-28.1394
21,0.55834836,0.10285873,5.8934
22,0.41589379,-0.61615735,-35.3032
23,0.30478629,-0.22434139,-12.8538
24,0.31400225,-0.94107109,-53.9194
25,0.45572853,-0.56971031,-32.6420
26,0.53983450,-0.22330183,-12.7943
27,0.65720719,-0.04831996,-2.7685
28,0.69007087,-0.11035728,-6.3230
29,0.51008111,-0.06498168,-3.7232
30,0.39813703,-0.32629815,-18.6955
31,0.28585622,1.13993430,65.3134
32,0.28647685,1.60135782,91.7510
33,0.42212585,0.29378676,16.8327
34,0.57460243,-0.33408463,-19.1416
35,0.62043482,0.28510052,16.3351
36,0.68403625,0.18586211,10.6491
37,0.53675532,0.36074740,20.6693
38,0.40604737,1.28900778,73.8547
39,0.30630860,0.97781062,56.0244
40,0.33613601,-1.85729146,-106.4150
41,0.47598261,0.50959545,29.1977
42,0.48972881,0.16444182,9.4218
43,0.64504367,-0.43860453,-25.1302
44,0.64072597,0.21572642,12.3602
45,0.51291704,-0.30591735,-17.5278
46,0.41451246,0.43269372,24.7915
47,0.28930491,-1.75157368,-100.3578
48,0.32172823,1.35794258,77.8044
49,0.41792569,0.78265947,44.8431
50,0.51144469,-0.48273161,-27.6585
51,0.65576124,-0.03822656,-2.1902
52,0.66430986,0.08014942,4.5922
53,0.48582241,-0.33987859,-19.4736
54,0.43834379,-0.23980290,-13.7397
55,0.30420953,-0.53419161,-30.6069
56,0.32263431,1.88668001,108.0988
57,0.39241681,-0.46182683,-26.4607
58,0.54959267,-0.17399126,-9.9690
59,0.68126279,-0.04659388,-2.6696
60,0.68574226,-0.38949826,-22.3166
61,0.47279325,-0.47941265,-27.4683
62,0.45169565,-0.62179112,-35.6260
63,0.33232123,-1.68879926,-96.7611
